tic,indicator,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
DATA,CAPEX/Выручка,,,,,,,,,,,2.7145,3.6525,
DATA,NetDebt/EBITDA,,,,,,,,,,,-1.6841,-0.6979,
DATA,Долг/EBITDA,,,,,,,,,,,,0.04,
DATA,ROE,,,,,,,,,,,,-70529.44,
DATA,ROA,,,,,,,,,,,32.17,43.4,
DATA,Return on Sales,,,,,,,,,,,38.26,41.14,
DATA,ROIC,,,,,,,,,,,,345.92,
DATA,ROCE,,,,,,,,,,,42.3371,71.6308,
DATA,Net Margin,,,,,,,,,,,38.9048,36.8653,
DATA,Операционная маржа,,,,,,,,,,,34.3295,40.3685,
DATA,EBITDA рентабельность,,,,,,,,,,,40.1841,42.8355,
DATA,Тек. ливкидность,,,,,,,,,,,3.5881,2.7861,
DELI,EV/S,,,,,,,,,0.91,0.46,0.96,3.09,
DELI,EV/EBITDA,,,,,,,,,-237.83,2.14,3.71,10.08,
DELI,EV/EBIT,,,,,,,,,-6.1179,4.1116,8.6469,12.3407,
DELI,Коэффициент долга,,,,,,,,,1.19,0.98,0.85,0.93,
DELI,D/E,,,,,,,,,-6.3103,39.7636,5.6306,13.1401,
DELI,CAPEX/Выручка,,,,,,,,,3.3589,3.313,2.8822,11.0297,
DELI,NetDebt/EBITDA,,,,,,,,,-237.833,2.1416,3.7092,3.3491,
DELI,Долг/EBITDA,,,,,,,,,-238.63,2.28,1.9,2.65,
DELI,ROE,,,,,,,,,120.69,-94.36,26.62,74.84,
DELI,ROA,,,,,,,,,-22.73,-2.31,4.02,5.29,
DELI,Return on Sales,,,,,,,,,-14.92,11.24,11.06,25.04,
DELI,ROCE,,,,,,,,,-35.5835,23.1342,25.4761,26.3336,
DELI,Net Margin,,,,,,,,,-44.9776,-3.4979,5.1409,9.2337,
DELI,EBITDA рентабельность,,,,,,,,,-0.3839,21.5825,25.7937,30.6513,
DELI,Тек. ливкидность,,,,,,,,,0.1211,0.1292,0.1697,0.6346,
DIAS,P/E,,,,,,,,,,,,,21.01
DIAS,P/B,,,,,,,,,,,,,10.65
DIAS,P/S,,,,,,,,,,,,,7.09
DIAS,P/CF,,,,,,,,,,,,,22.73
DIAS,P/FCF,,,,,,,,,,,,,37.71
DIAS,EV/S,,,,,,,,,,,-0.11,4.97,6.74
DIAS,EV/EBITDA,,,,,,,,,,,-0.29,11.6,15.76
DIAS,EV/EBIT,,,,,,,,,,,-0.3446,13.4502,19.9984
DIAS,Коэффициент долга,,,,,,,,,,,0.45,0.33,0.29
DIAS,D/E,,,,,,,,,,,0.8325,0.4836,0.4166
DIAS,CAPEX/Выручка,,,,,,,,,,,0.5922,0.6867,0.9457
DIAS,NetDebt/EBITDA,,,,,,,,,,,-0.2943,-0.1898,-0.8021
DIAS,Долг/EBITDA,,,,,,,,,,,0.02,0.01,
DIAS,ROE,,,,,,,,,,,105.51,92.22,50.28
DIAS,ROA,,,,,,,,,,,57.57,62.16,35.5
DIAS,Return on Sales,,,,,,,,,,,32.7,36.94,33.72
DIAS,ROIC,,,,,,,,,,,82.73,80.99,48.49
DIAS,ROCE,,,,,,,,,,,86.689,82.5233,49.5598
DIAS,Net Margin,,,,,,,,,,,31.9884,36.537,33.4614
DIAS,Операционная маржа,,,,,,,,,,,32.1498,36.4798,33.7887
DIAS,EBITDA рентабельность,,,,,,,,,,,38.2904,42.8494,42.8024
DIAS,Тек. ливкидность,,,,,,,,,,,1.5048,1.4998,2.2581
DVEC,P/E,,,,,,,,-1.77,13.05,12.89,5.96,11.62,
DVEC,P/B,,,,,,,,-0.61,0.78,1.06,0.69,1.97,
DVEC,P/S,,,,,,,,0.15,0.13,0.18,0.13,0.34,
DVEC,P/CF,,,,,,,,-3.51,3.52,2.8,2.21,6.11,
DVEC,P/FCF,,,,,,,,,11.16,12.53,,,
DVEC,EV/S,,,,,,,,0.96,0.21,0.23,0.22,0.43,
DVEC,EV/EBITDA,,,,,,,,2.24,0.65,5.37,4.21,8.29,
DVEC,EV/EBIT,,,,,,,,2.3669,0.7031,11.9306,7.1223,13.4482,
DVEC,Коэффициент долга,,,,,,,,1.25,0.68,0.66,0.64,0.68,
DVEC,D/E,,,,,,,,-4.9348,2.1675,1.9477,1.7756,2.0771,
DVEC,CAPEX/Выручка,,,,,,,,9.5564,2.5779,4.9649,8.8277,8.5654,
DVEC,NetDebt/EBITDA,,,,,,,,1.8846,0.2299,1.2634,1.7661,1.782,
DVEC,Долг/EBITDA,,,,,,,,2.01,0.41,2.61,2.24,2.39,
DVEC,ROE,,,,,,,,34.46,6.01,8.2,11.62,16.95,
DVEC,ROA,,,,,,,,-8.76,1.9,2.78,4.19,5.51,
DVEC,Return on Sales,,,,,,,,40.4,29.26,1.97,3.1,3.2,
DVEC,ROIC,,,,,,,,69.48,3.07,6.33,7.12,7.31,
DVEC,ROCE,,,,,,,,69.4812,86.609,7.9107,9.7245,9.7134,
DVEC,Net Margin,,,,,,,,-8.6638,1.0156,1.392,2.152,2.9049,
DVEC,Операционная маржа,,,,,,,,40.3966,29.2574,1.9663,3.1046,3.1973,
DVEC,EBITDA рентабельность,,,,,,,,42.6214,31.8261,4.3679,5.2566,5.1871,
DVEC,Тек. ливкидность,,,,,,,,0.8393,0.8493,0.6204,0.6993,0.7469,
ELFV,P/E,,,,,,,,36.41,8.78,,,,
ELFV,P/B,,,,,,,,0.85,0.78,,,,
ELFV,P/S,,,,,,,,0.5,0.72,,,,
ELFV,P/CF,,,,,,,,3.28,-71.46,,,,
ELFV,P/FCF,,,,,9.42,9.41,39.25,78.31,,,,,
ELFV,EV/S,,,,,,,,0.56,1.04,,,,
ELFV,EV/EBITDA,,,,,,,,2.4,5.06,,,,
ELFV,EV/EBIT,,,,,,,,12.9367,8.2434,,,,
ELFV,Коэффициент долга,,,,,,,,0.45,0.47,,,,
ELFV,D/E,,,,,,,,0.8324,0.8919,,,,
ELFV,CAPEX/Выручка,,,,,,,,14.4503,31.8655,,,,
ELFV,NetDebt/EBITDA,,,,,,,,0.2723,1.519,,,,
ELFV,Долг/EBITDA,,,,,,,,1.0,2.81,,,,
ELFV,ROE,,,,,,,,2.34,8.94,,,,
ELFV,ROA,,,,,,,,1.28,4.72,,,,
ELFV,Return on Sales,,,,,,,,4.32,12.56,,,,
ELFV,ROIC,,,,,,,,4.2,7.03,,,,
ELFV,ROCE,,,,,,,,5.2868,8.8665,,,,
ELFV,Net Margin,,,,,,,,1.3605,8.2316,,,,
ELFV,Операционная маржа,,,,,,,,4.317,12.5631,,,,
ELFV,EBITDA рентабельность,,,,,,,,23.2673,20.476,,,,
ELFV,Тек. ливкидность,,,,,,,,1.5934,1.4177,,,,
ENPG,P/E,,,,,,,,,9.77,3.53,3.0,5.3,
ENPG,P/B,,,,,,,,,2.12,1.31,0.43,0.46,
ENPG,P/S,,,,,,,,,0.65,0.54,0.2,0.22,
ENPG,P/CF,,,,,,,,,3.53,3.49,5.68,1.16,
ENPG,P/FCF,,,,,,,,,6.9,4.44,,2.48,
ENPG,EV/S,,,,,,,,1.35,1.59,1.14,0.81,0.81,
ENPG,EV/EBITDA,,,,,,,,7.47,8.87,4.05,4.29,5.51,
ENPG,EV/EBIT,,,,,,,,6.0039,8.3321,3.1105,3.7571,6.6656,
ENPG,Коэффициент долга,,,,,,,,0.69,0.73,0.6,0.59,0.56,
ENPG,D/E,,,,,,,,2.2598,2.7364,1.5271,1.4095,1.2786,
ENPG,CAPEX/Выручка,,,,,,,,9.0283,10.8922,10.7107,10.339,9.8853,
ENPG,NetDebt/EBITDA,,,,,,,,4.7974,5.28,2.1495,3.2456,4.0413,
ENPG,Долг/EBITDA,,,,,,,,5.87,6.66,2.73,4.36,5.13,
ENPG,ROE,,,,,,,,17.69,16.75,34.27,14.5,6.18,
ENPG,ROA,,,,,,,,5.43,4.48,13.56,6.02,2.71,
ENPG,Return on Sales,,,,,,,,22.51,19.13,36.75,21.51,12.17,
ENPG,ROIC,,,,,,,,3.92,5.04,12.25,6.23,3.9,
ENPG,ROCE,,,,,,,,12.8667,10.9532,25.6928,14.6999,8.2515,
ENPG,Net Margin,,,,,,,,11.096,9.8107,25.0177,11.1548,4.888,
ENPG,Операционная маржа,,,,,,,,8.305,9.7528,20.5154,12.1216,7.0317,
ENPG,EBITDA рентабельность,,,,,,,,18.099,17.9703,28.2599,18.8471,14.7256,
ENPG,Тек. ливкидность,,,,,,,,2.0777,1.4424,1.5331,1.6239,1.7462,
ETLN,P/E,,,,,,,,39.97,18.04,10.9,1.37,,
ETLN,P/B,,,,,,,,0.6,0.72,0.53,0.24,,
ETLN,P/S,,,,,,,,0.38,0.47,0.38,0.22,,
ETLN,P/CF,,,,,,,,3.73,-40.94,-1.5,-0.35,,
ETLN,P/FCF,,,,,,,2.29,3.96,,,,,
ETLN,EV/S,,,,,,,,0.63,0.78,0.82,1.08,,
ETLN,EV/EBITDA,,,,,,,,5.98,4.87,4.01,3.41,,
ETLN,EV/EBIT,,,,,,,,-18.1021,6.0087,5.4146,3.4796,,
ETLN,Коэффициент долга,,,,,,,,0.69,0.73,0.72,0.7,,
ETLN,D/E,,,,,,,,2.259,2.652,2.6196,2.3434,,
ETLN,CAPEX/Выручка,,,,,,,,0.5882,0.8963,0.8492,1.4909,,
ETLN,NetDebt/EBITDA,,,,,,,,2.4139,1.9582,2.1729,2.7105,,
ETLN,Долг/EBITDA,,,,,,,,5.92,4.01,4.67,3.64,,
ETLN,ROE,,,,,,,,0.35,3.99,4.9,17.52,,
ETLN,ROA,,,,,,,,0.11,1.09,1.35,5.24,,
ETLN,Return on Sales,,,,,,,,-3.49,12.99,15.18,31.06,,
ETLN,ROIC,,,,,,,,0.65,3.66,4.07,11.45,,
ETLN,ROCE,,,,,,,,-2.8115,8.4795,7.9095,13.9722,,
ETLN,Net Margin,,,,,,,,0.2206,2.5885,3.4508,16.1391,,
ETLN,Операционная маржа,,,,,,,,7.6888,12.9909,15.2012,31.1026,,
ETLN,EBITDA рентабельность,,,,,,,,10.5538,16.0206,20.5192,31.7282,,
ETLN,Тек. ливкидность,,,,,,,,2.3674,2.5895,3.747,3.2895,,
EUTR,P/E,,,,,,,,,,,,7.7,
EUTR,P/B,,,,,,,,,,,,1.44,
EUTR,P/S,,,,,,,,,,,,0.31,
EUTR,P/CF,,,,,,,,,,,,-21.83,
EUTR,EV/S,,,,,,,,,0.54,0.42,0.66,0.36,
EUTR,EV/EBITDA,,,,,,,,,9.12,7.68,6.95,3.74,
EUTR,EV/EBIT,,,,,,,,,18.3073,12.7384,8.023,4.1367,
EUTR,Коэффициент долга,,,,,,,,,1.01,0.99,0.77,0.68,
EUTR,D/E,,,,,,,,,-70.8692,186.117,3.3425,2.0793,
EUTR,CAPEX/Выручка,,,,,,,,,0.1957,0.0489,0.1122,10.5095,
EUTR,NetDebt/EBITDA,,,,,,,,,9.1187,7.6772,1.2143,0.47,
EUTR,Долг/EBITDA,,,,,,,,,9.14,7.71,1.25,0.48,
EUTR,ROE,,,,,,,,,-75.36,310.04,14.57,18.69,
EUTR,ROA,,,,,,,,,1.08,1.66,3.36,6.07,
EUTR,Return on Sales,,,,,,,,,2.94,3.31,8.26,8.67,
EUTR,ROIC,,,,,,,,,-1531.23,31.09,12.24,14.37,
EUTR,ROCE,,,,,,,,,-2093.56,38.9502,15.2813,18.0536,
EUTR,Net Margin,,,,,,,,,0.7889,1.1361,2.681,4.0692,
EUTR,Операционная маржа,,,,,,,,,2.9362,3.3088,8.2568,8.6652,
EUTR,EBITDA рентабельность,,,,,,,,,5.8949,5.4901,9.5271,9.5941,
EUTR,Тек. ливкидность,,,,,,,,,0.9465,0.999,1.3847,1.7623,
FEES,P/E,,,,,,,2.04,2.96,4.77,,,,
FEES,P/B,,,,,,,0.23,0.28,0.3,,,,
FEES,P/S,,,,,,,0.74,1.03,1.19,,,,
FEES,P/CF,,,,,,,1.52,1.88,2.34,,,,
FEES,P/FCF,,,,,,6.31,5.71,6.15,9.92,,,,
FEES,EV/S,,,,,,,1.57,1.84,2.02,,,,
FEES,EV/EBITDA,,,,,,,2.98,3.37,3.61,,,,
FEES,EV/EBIT,,,,,,,3.7212,4.4681,6.8709,,,,
FEES,Коэффициент долга,,,,,,,0.31,0.3,0.29,,,,
FEES,D/E,,,,,,,0.4408,0.4309,0.4092,,,,
FEES,CAPEX/Выручка,,,,,,,35.8258,37.8625,38.91,,,,
FEES,NetDebt/EBITDA,,,,,,,1.5658,1.4883,1.4805,,,,
FEES,Долг/EBITDA,,,,,,,1.85,1.67,1.72,,,,
FEES,ROE,,,,,,,11.06,9.61,6.25,,,,
FEES,ROA,,,,,,,7.68,6.71,4.43,,,,
FEES,Return on Sales,,,,,,,42.12,41.18,29.45,,,,
FEES,ROIC,,,,,,,7.73,6.82,4.35,,,,
FEES,ROCE,,,,,,,9.5935,8.6447,5.5639,,,,
FEES,Net Margin,,,,,,,36.5562,34.7092,25.027,,,,
FEES,Операционная маржа,,,,,,,42.0732,41.1496,29.3872,,,,
FEES,EBITDA рентабельность,,,,,,,52.6028,54.5649,56.0463,,,,
FEES,Тек. ливкидность,,,,,,,1.6138,1.2313,1.3587,,,,
FESH,P/E,,,,,,,,-11.77,4.23,2.17,2.57,,
FESH,P/B,,,,,,,,7.54,10.56,1.55,1.13,,
FESH,P/S,,,,,,,,0.46,0.55,0.71,0.61,,
FESH,P/CF,,,,,,,,2.96,3.46,2.12,1.57,,
FESH,P/FCF,,,,,,,16.46,5.22,5.07,5.41,1.99,,
FESH,EV/S,,,,,,,,1.02,0.99,0.89,0.63,,
FESH,EV/EBITDA,,,,,,,,4.99,5.01,2.0,1.42,,
FESH,EV/EBIT,,,,,,,,7.1392,8.2721,2.3209,2.0409,,
FESH,Коэффициент долга,,,,,,,,0.91,0.91,0.55,0.46,,
FESH,D/E,,,,,,,,9.9337,10.2492,1.2054,0.836,,
FESH,CAPEX/Выручка,,,,,,,,6.7722,4.9913,20.352,22.4387,,
FESH,NetDebt/EBITDA,,,,,,,,2.7293,2.2445,0.3962,0.0368,,
FESH,Долг/EBITDA,,,,,,,,2.84,2.58,0.62,0.43,,
FESH,ROE,,,,,,,,-32.84,171.62,69.78,43.48,,
FESH,ROA,,,,,,,,-3.0,15.26,31.64,23.68,,
FESH,Return on Sales,,,,,,,,14.32,11.97,38.2,30.66,,
FESH,ROIC,,,,,,,,22.49,20.72,44.97,35.53,,
FESH,ROCE,,,,,,,,21.9751,22.3349,47.9182,38.9644,,
FESH,Net Margin,,,,,,,,-3.2502,13.4249,33.2867,24.2181,,
FESH,Операционная маржа,,,,,,,,14.6525,13.1209,38.1852,31.2957,,
FESH,EBITDA рентабельность,,,,,,,,20.4648,19.7738,44.2744,43.9519,,
FESH,Тек. ливкидность,,,,,,,,0.9918,0.7834,1.4082,1.8852,,
FIXP,P/E,,,,,,,,,34.67,21.76,13.37,6.69,
FIXP,P/B,,,,,,,,,-168.85,58.33,9.78,3.66,
FIXP,P/S,,,,,,,,,3.21,2.02,1.03,0.82,
FIXP,P/CF,,,,,,,,,20.13,18.37,7.79,6.1,
FIXP,P/FCF,,,,,,,,,25.28,24.42,11.56,7.33,
FIXP,EV/S,,,,,,,,4.27,3.2,2.12,1.07,0.79,
FIXP,EV/EBITDA,,,,,,,,22.48,16.55,11.07,5.49,4.24,
FIXP,EV/EBIT,,,,,,,,33.2023,22.4961,15.1616,8.5378,5.9749,
FIXP,Коэффициент долга,,,,,,,,0.79,1.04,0.91,0.74,0.53,
FIXP,D/E,,,,,,,,3.6852,-23.7506,9.6441,2.8619,1.1082,
FIXP,CAPEX/Выручка,,,,,,,,2.9367,3.2448,2.7244,4.3275,2.2469,
FIXP,NetDebt/EBITDA,,,,,,,,0.0341,-0.0175,0.5318,0.2021,-0.1636,
FIXP,Долг/EBITDA,,,,,,,,0.18,0.43,0.49,0.4,0.27,
FIXP,ROE,,,,,,,,115.02,-486.98,268.07,73.16,54.67,
FIXP,ROA,,,,,,,,24.55,21.41,25.18,18.94,25.93,
FIXP,Return on Sales,,,,,,,,12.86,14.24,13.99,12.54,13.18,
FIXP,ROIC,,,,,,,,96.98,3677.82,184.08,60.13,47.23,
FIXP,ROCE,,,,,,,,128.583,5533.54,262.629,90.0893,51.04,
FIXP,Net Margin,,,,,,,,9.2196,9.2471,9.2805,7.7117,12.2341,
FIXP,Операционная маржа,,,,,,,,12.9164,14.1656,14.0259,14.7887,12.9947,
FIXP,EBITDA рентабельность,,,,,,,,19.002,19.3561,19.1584,19.5207,18.5743,
FIXP,Тек. ливкидность,,,,,,,,0.8823,0.696,0.7588,0.9748,1.4869,
FLOT,P/E,,,,,,,,17.3,11.76,54.23,,,
FLOT,P/B,,,,,,,,1.14,0.79,0.62,,,
FLOT,P/S,,,,,,,,2.3,1.9,1.54,,,
FLOT,P/CF,,,,,,,,4.83,3.39,3.94,,,
FLOT,P/FCF,,,,,,,,10.36,6.44,9.8,,,
FLOT,EV/S,,,,,,,,4.15,3.35,3.09,,,
FLOT,EV/EBITDA,,,,,,,,8.4,6.13,7.01,,,
FLOT,EV/EBIT,,,,,,,,15.359,11.6384,19.5074,,,
FLOT,Коэффициент долга,,,,,,,,0.52,0.47,0.46,,,
FLOT,D/E,,,,,,,,1.0932,0.8893,0.8467,,,
FLOT,CAPEX/Выручка,,,,,,42.6992,27.509,25.4476,26.5922,23.3964,,,
FLOT,NetDebt/EBITDA,,,,,,,,3.7452,2.6478,3.5088,,,
FLOT,Долг/EBITDA,,,,,,,5.99,3.93,3.58,4.41,,,
FLOT,ROE,,,,,,,,6.43,6.51,0.9,,,
FLOT,ROA,,,,,,,,3.07,3.45,0.49,,,
FLOT,Return on Sales,,,,,,,,27.05,28.79,15.83,,,
FLOT,ROIC,,,,,,,2.85,5.8,6.21,1.74,,,
FLOT,ROCE,,,,,,,2.5938,6.7557,6.6578,3.6123,,,
FLOT,Net Margin,,,,,,,,13.5345,16.1493,2.3241,,,
FLOT,Операционная маржа,,,,,,,,26.204,29.734,14.9478,,,
FLOT,EBITDA рентабельность,,,,,,,,49.4233,54.6691,44.0476,,,
FLOT,Тек. ливкидность,,,,,,,0.9222,1.0449,1.7695,1.4635,,,
GAZP,P/E,,,,,,,,5.05,,,,,
GAZP,P/B,,,,,,,,0.43,,,,,
GAZP,P/S,,,,,,,,0.79,,,,,
GAZP,P/CF,,,,,,,,3.56,,,,,
GAZP,P/FCF,,,,8.27,17.97,,,,,,,,
GAZP,EV/S,,,,,,,,1.21,,,,,
GAZP,EV/EBITDA,,,,,,,,4.53,,,,,
GAZP,EV/EBIT,,,,,,,,6.9672,,,,,
GAZP,Коэффициент долга,,,,,,,,0.33,,,,,
GAZP,D/E,,,,,,,,0.4972,,,,,
GAZP,CAPEX/Выручка,,,,,,,,23.1855,,,,,
GAZP,NetDebt/EBITDA,,,,,,,,1.5512,,,,,
GAZP,Долг/EBITDA,,,,,,,,1.89,,,,,
GAZP,ROE,,,,,,,,8.69,,,,,
GAZP,ROA,,,,,,,,5.8,,,,,
GAZP,Return on Sales,,,,,,,,17.32,,,,,
GAZP,ROIC,,,,,,,,4.51,,,,,
GAZP,ROCE,,,,,,,,6.8561,,,,,
GAZP,Net Margin,,,,,,,,16.5741,,,,,
GAZP,Операционная маржа,,,,,,,,14.6203,,,,,
GAZP,EBITDA рентабельность,,,,,,,,26.6621,,,,,
GAZP,Тек. ливкидность,,,,,,,,1.5146,,,,,
GCHE,P/E,,,,,,,,11.28,5.33,7.12,7.73,5.22,
GCHE,P/B,,,,,,,,1.26,1.13,1.51,1.25,1.44,
GCHE,P/S,,,,,,,,0.63,0.63,0.75,0.62,0.74,
GCHE,P/CF,,,,,,,,4.74,4.82,5.73,4.37,4.88,
GCHE,P/FCF,,,,,,,,12.38,12.11,23.84,12.24,131.66,
GCHE,EV/S,,,,,,,,1.14,1.12,1.23,1.11,1.14,
GCHE,EV/EBITDA,,,,,,,,6.64,5.45,6.72,6.58,4.81,
GCHE,EV/EBIT,,,,,,,,12.5101,7.7439,9.8501,10.3425,6.4488,
GCHE,Коэффициент долга,,,,,,,,0.58,0.57,0.59,0.65,0.58,
GCHE,D/E,,,,,,,,1.357,1.3124,1.4256,1.8173,1.3645,
GCHE,CAPEX/Выручка,,,,,,,,8.245,7.8391,9.9572,9.16,14.5568,
GCHE,NetDebt/EBITDA,,,,,,,,2.945,2.41,2.6035,2.9055,1.711,
GCHE,Долг/EBITDA,,,,,,,,3.11,2.6,2.87,3.95,1.98,
GCHE,ROE,,,,,,,,10.85,21.06,21.02,16.22,27.53,
GCHE,ROA,,,,,,,,4.6,9.11,8.67,5.76,11.64,
GCHE,Return on Sales,,,,,,,,9.11,14.52,12.46,10.77,17.75,
GCHE,ROIC,,,,,,,,9.52,16.06,15.26,11.33,20.88,
GCHE,ROCE,,,,,,,,10.2948,16.0627,15.8729,13.311,23.641,
GCHE,Net Margin,,,,,,,,5.5375,11.7583,10.5415,8.0898,14.1078,
GCHE,Операционная маржа,,,,,,,,8.4831,14.5191,12.0905,9.5013,17.2767,
GCHE,EBITDA рентабельность,,,,,,,,17.1511,20.6175,18.2768,16.9336,23.8182,
GCHE,Тек. ливкидность,,,,,,,,1.101,1.136,1.0543,0.952,0.988,
GECO,EV/S,,,,,,,,,,0.41,,,
GECO,EV/EBITDA,,,,,,,,,,-2.41,,,
GECO,EV/EBIT,,,,,,,,,,-1.5165,,,
GECO,Коэффициент долга,,,,,,,,,,0.36,,,
GECO,D/E,,,,,,,,,,0.552,,,
GECO,CAPEX/Выручка,,,,,,,,,,8.8382,,,
GECO,NetDebt/EBITDA,,,,,,,,,,-2.4138,,,
GECO,Долг/EBITDA,,,,,,,,,,-2.47,,,
GECO,ROE,,,,,,,,,,-25.94,,,
GECO,ROA,,,,,,,,,,-16.71,,,
GECO,Return on Sales,,,,,,,,,,-27.04,,,
GECO,ROIC,,,,,,,,,,-13.32,,,
GECO,ROCE,,,,,,,,,,-14.6921,,,
GECO,Net Margin,,,,,,,,,,-34.3784,,,
GECO,Операционная маржа,,,,,,,,,,-24.5089,,,
GECO,EBITDA рентабельность,,,,,,,,,,-16.9866,,,
GECO,Тек. ливкидность,,,,,,,,,,2.0905,,,
GEMC,P/E,,,,,,,,,11.13,15.22,8.2,7.01,
GEMC,P/B,,,,,,,,,7.96,12.25,2.46,3.96,
GEMC,P/S,,,,,,,,,3.56,3.67,1.08,2.67,
GEMC,P/CF,,,,,,,,,13.48,9.51,3.61,6.9,
GEMC,P/FCF,,,,,,,,,28.96,11.12,4.41,8.2,
GEMC,EV/S,,,,,,,,5.53,3.99,4.14,1.47,2.93,
GEMC,EV/EBITDA,,,,,,,,16.67,9.78,11.53,5.33,5.81,
GEMC,EV/EBIT,,,,,,,,21.0219,11.4604,13.9832,7.1099,6.7543,
GEMC,Коэффициент долга,,,,,,,,0.77,0.65,0.77,0.69,0.46,
GEMC,D/E,,,,,,,,3.4155,1.8735,3.3296,2.1891,0.8585,
GEMC,CAPEX/Выручка,,,,,,,,23.4757,14.1063,5.5766,5.4427,6.1502,
GEMC,NetDebt/EBITDA,,,,,,,,1.9128,1.0494,1.3004,1.4184,0.5015,
GEMC,Долг/EBITDA,,,,,,,,2.03,1.24,1.61,2.05,0.75,
GEMC,ROE,,,,,,,,81.87,73.59,86.5,32.97,56.18,
GEMC,ROA,,,,,,,,18.54,25.61,19.98,10.34,30.23,
GEMC,Return on Sales,,,,,,,,26.3,34.78,29.61,20.67,43.33,
GEMC,ROIC,,,,,,,,27.68,33.93,32.29,28.61,36.4,
GEMC,ROCE,,,,,,,,26.9254,37.5092,33.6955,22.7873,44.8803,
GEMC,Net Margin,,,,,,,,24.2729,31.1011,23.4387,13.803,38.5295,
GEMC,Операционная маржа,,,,,,,,27.0384,31.4675,31.3961,26.8621,35.7996,
GEMC,EBITDA рентабельность,,,,,,,,33.1627,40.7758,35.9185,27.5658,50.3388,
GEMC,Тек. ливкидность,,,,,,,,0.5695,0.9279,0.9266,0.6152,1.1594,
GLTR,P/E,,,,,,,,4.71,7.69,8.65,1.91,3.01,
GLTR,P/B,,,,,,,,1.92,1.74,2.24,0.71,1.16,
GLTR,P/S,,,,,,,,1.03,1.19,1.54,0.51,1.11,
GLTR,P/CF,,,,,,,,3.33,3.23,4.12,1.2,2.84,
GLTR,P/FCF,,,,,,,,7.67,5.39,5.97,1.67,3.56,
GLTR,EV/S,,,,,,,,1.28,1.59,1.79,0.56,0.85,
GLTR,EV/EBITDA,,,,,,,,3.07,4.05,4.45,1.19,1.7,
GLTR,EV/EBIT,,,,,,,,3.7229,5.7231,6.0511,1.5073,1.8762,
GLTR,Коэффициент долга,,,,,,,,0.43,0.46,0.48,0.39,0.23,
GLTR,D/E,,,,,,,,0.7616,0.8632,0.9164,0.6328,0.3058,
GLTR,CAPEX/Выручка,,,,,,,,14.2283,10.1527,11.5366,12.0919,7.8862,
GLTR,NetDebt/EBITDA,,,,,,,,0.596,1.0086,0.6283,0.1038,-0.524,
GLTR,Долг/EBITDA,,,,,,,,0.76,1.19,1.07,0.47,0.29,
GLTR,ROE,,,,,,,,40.08,23.09,26.72,36.94,38.67,
GLTR,ROA,,,,,,,,22.75,12.39,13.94,22.62,29.62,
GLTR,Return on Sales,,,,,,,,34.36,27.73,29.55,36.99,45.17,
GLTR,ROIC,,,,,,,,27.99,16.44,19.12,29.5,30.88,
GLTR,ROCE,,,,,,,,37.3425,22.718,24.6049,39.978,40.386,
GLTR,Net Margin,,,,,,,,23.8472,17.8255,20.6416,26.3775,36.8671,
GLTR,Операционная маржа,,,,,,,,33.8125,27.5147,29.5652,36.308,42.1246,
GLTR,EBITDA рентабельность,,,,,,,,41.6364,39.2102,40.1749,46.8797,49.9188,
GLTR,Тек. ливкидность,,,,,,,,1.3981,0.8089,0.9886,1.2174,3.9516,
GMKN,P/E,,,,,,,,8.12,15.24,7.3,5.82,11.75,
GMKN,P/B,,,,,,,,12.93,12.58,12.77,4.67,4.32,
GMKN,P/S,,,,,,,,3.48,3.35,2.65,1.97,2.01,
GMKN,P/CF,,,,,,,,7.84,6.2,6.74,7.23,5.0,
GMKN,P/FCF,,,,,,,,9.62,7.88,11.07,65.88,10.42,
GMKN,EV/S,,,,,,,,4.0,3.64,2.92,2.54,2.56,
GMKN,EV/EBITDA,,,,,,,,6.86,8.72,4.99,4.68,6.88,
GMKN,EV/EBIT,,,,,,,,6.9076,10.2069,5.4743,5.2401,8.7927,
GMKN,Коэффициент долга,,,,,,,,0.78,0.77,0.8,0.67,0.68,
GMKN,D/E,,,,,,,,3.5428,3.4316,3.8946,2.0117,2.1052,
GMKN,CAPEX/Выручка,,,,,,,,9.7144,11.5256,15.4094,24.2987,20.9315,
GMKN,NetDebt/EBITDA,,,,,,,,0.8987,0.7036,0.4511,1.0496,1.4822,
GMKN,Долг/EBITDA,,,,,,,,1.16,1.53,0.99,1.26,1.9,
GMKN,ROE,,,,,,,,146.06,76.43,144.17,71.27,36.97,
GMKN,ROA,,,,,,,,32.15,17.25,29.46,23.66,11.91,
GMKN,Return on Sales,,,,,,,,57.89,35.67,53.32,48.56,29.14,
GMKN,ROIC,,,,,,,,41.62,32.14,46.43,34.21,29.08,
GMKN,ROCE,,,,,,,,58.4186,35.2685,61.5586,45.1663,27.1343,
GMKN,Net Margin,,,,,,,,44.1551,23.6168,38.9445,36.2475,20.4406,
GMKN,Операционная маржа,,,,,,,,51.9743,41.3133,53.45,46.1002,38.5245,
GMKN,EBITDA рентабельность,,,,,,,,58.2666,41.762,58.5042,54.3211,37.2082,
GMKN,Тек. ливкидность,,,,,,,,1.212,1.5816,1.2211,1.0929,0.8313,
GRNT,P/E,,,,,,5.17,3.72,6.21,4.28,,,,
